
ad_group_id,campaign_id,ad_group_name,audience_id,channel,bid_strategy,avg_bid,weekly_budget_allocated,weekly_budget_spent,impressions,clicks,conversions,conversion_value,ctr,cvr,roas,week
198,15,AG_15_3,AUD3,Social,Max Conversions,13.41,288200.16,252999.53,1334572,18740,567,8443658.6,0.014,0.0303,33.374,2
199,15,AG_15_4,AUD1,Social,Manual CPC,10.5,285375.56,287733.38,2179238,35742,1002,17557645.99,0.0164,0.028,61.021,2
200,15,AG_15_5,AUD8,Social,Manual CPC,12.58,217448.63,226795.82,1508232,25350,747,9730646.96,0.0168,0.0295,42.905,2
201,16,AG_16_1,AUD6,Search,Max Conversions,23.99,422698.43,438107.22,1943944,28192,1021,12860138.0,0.0145,0.0362,29.354,2
202,16,AG_16_2,AUD3,Search,Max Conversions,28.32,448822.83,392772.22,1469065,22769,870,11627772.79,0.0155,0.0382,29.604,2
203,16,AG_16_3,AUD3,Search,Max Conversions,27.64,434726.06,383185.28,1396079,20514,755,7951651.75,0.0147,0.0368,20.751,2
204,16,AG_16_4,AUD4,Search,Manual CPC,27.78,437114.73,453237.29,2568087,44285,1597,23464174.76,0.0172,0.0361,51.77,2
205,16,AG_16_5,AUD2,Search,Max Conversions,19.55,383989.17,391921.22,1372116,20241,692,11589381.15,0.0148,0.0342,29.571,2
206,17,AG_17_1,AUD10,Display,Max Conversions,7.24,213811.09,208088.78,1526946,7966,128,1374929.97,0.0052,0.0162,6.607,2
207,17,AG_17_2,AUD7,Display,Max Conversions,9.9,384454.67,336536.38,2437299,11321,196,1883286.18,0.0046,0.0173,5.596,2
208,17,AG_17_3,AUD3,Display,Max Conversions,8.7,380375.93,367543.65,4032486,20138,344,3986020.95,0.005,0.0171,10.845,2
209,17,AG_17_4,AUD6,Display,Max Conversions,11.54,369172.69,338971.9,2405222,10999,195,2706409.53,0.0046,0.0178,7.984,2
210,17,AG_17_5,AUD10,Display,Max Conversions,11.64,324592.09,291375.75,2143345,10401,168,1745259.87,0.0049,0.0162,5.99,2
211,18,AG_18_1,AUD5,Display,Max Conversions,7.09,217011.18,203875.52,2233726,15800,205,1808122.02,0.0071,0.013,8.869,2
212,18,AG_18_2,AUD6,Display,Manual CPC,9.97,357343.79,330710.85,3198984,20862,297,2987784.91,0.0065,0.0143,9.034,2
213,18,AG_18_3,AUD10,Display,Max Conversions,10.97,260858.72,262208.14,2560478,15846,225,1917627.98,0.0062,0.0142,7.313,2
214,18,AG_18_4,AUD10,Display,Manual CPC,8.45,341258.99,314130.9,2318542,16487,207,2025535.96,0.0071,0.0126,6.448,2
215,18,AG_18_5,AUD3,Display,tROAS,9.92,221502.31,230086.25,1512541,10790,147,1572521.42,0.0071,0.0137,6.834,2
216,19,AG_19_1,AUD7,Search,tROAS,27.63,294735.57,266149.01,1006882,11313,240,4318705.63,0.0112,0.0213,16.227,2
217,19,AG_19_2,AUD2,Search,Manual CPC,18.93,225741.66,205427.93,1103448,13103,325,4353900.81,0.0119,0.0249,21.194,2
218,19,AG_19_3,AUD8,Search,Max Conversions,29.77,241692.14,236295.15,893545,11641,277,3521561.37,0.013,0.0238,14.903,2
219,19,AG_19_4,AUD3,Search,Manual CPC,24.96,278445.22,280291.87,1559486,18942,459,8014997.84,0.0121,0.0242,28.595,2
220,19,AG_19_5,AUD4,Search,tROAS,28.03,159625.53,137690.03,683987,8734,215,2012520.9,0.0128,0.0247,14.616,2
221,20,AG_20_1,AUD10,Display,Manual CPC,5.39,245043.43,220488.94,1976873,13518,248,4430692.34,0.0068,0.0184,20.095,2
222,20,AG_20_2,AUD2,Display,tROAS,11.18,245304.26,231075.71,2260483,14437,291,2357130.29,0.0064,0.0202,10.201,2
223,20,AG_20_3,AUD3,Display,Manual CPC,10.52,248222.1,240452.57,2344059,17575,297,4760011.29,0.0075,0.0169,19.796,2
224,20,AG_20_4,AUD8,Display,Manual CPC,9.47,206961.95,186548.47,1985052,12785,263,2109744.3,0.0064,0.0206,11.309,2
225,20,AG_20_5,AUD3,Display,Manual CPC,9.55,234641.15,238967.64,2308860,16467,302,5194520.96,0.0071,0.0184,21.737,2
226,21,AG_21_1,AUD4,Video,Manual CPC,12.23,323145.69,334563.44,1333836,7849,90,1519877.24,0.0059,0.0115,4.543,2
227,21,AG_21_2,AUD8,Video,Manual CPC,13.19,249429.9,250569.3,755511,4091,44,418620.6,0.0054,0.0108,1.671,2
228,21,AG_21_3,AUD7,Video,tROAS,9.51,221058.39,204113.02,1290518,6636,80,1264545.66,0.0051,0.0122,6.195,2
229,21,AG_21_4,AUD7,Video,Manual CPC,9.78,274659.16,233677.81,930688,5666,58,669409.43,0.0061,0.0103,2.865,2
230,21,AG_21_5,AUD10,Video,Manual CPC,7.5,345565.34,357300.23,2253984,13143,153,2152275.79,0.0058,0.0117,6.024,2
231,22,AG_22_1,AUD3,Social,Manual CPC,13.89,277186.28,240676.76,1477310,16837,425,3891323.85,0.0114,0.0253,16.168,2
232,22,AG_22_2,AUD2,Social,Max Conversions,19.75,435049.52,427522.32,1980036,21781,610,5835338.17,0.011,0.028,13.649,2
233,22,AG_22_3,AUD10,Social,tROAS,14.53,287632.66,294165.19,2061521,26704,722,10573139.74,0.013,0.0271,35.943,2
234,22,AG_22_4,AUD1,Social,Manual CPC,15.63,427606.13,419287.32,2802360,35652,876,14251362.34,0.0127,0.0246,33.989,2
235,22,AG_22_5,AUD3,Social,tROAS,11.43,459421.11,409574.98,2485831,29189,835,10455996.09,0.0117,0.0286,25.529,2
236,23,AG_23_1,AUD6,Video,Manual CPC,9.35,329112.78,326997.94,975657,5371,193,2899162.56,0.0055,0.0361,8.866,2
237,23,AG_23_2,AUD1,Video,Max Conversions,9.31,299587.7,281172.33,1226924,6879,237,2787571.41,0.0056,0.0345,9.914,2
238,23,AG_23_3,AUD5,Video,tROAS,8.83,316784.39,299921.96,986153,5484,179,2437887.12,0.0056,0.0328,8.128,2
239,23,AG_23_4,AUD3,Video,Max Conversions,14.56,176999.46,172330.32,704086,3929,125,1241674.04,0.0056,0.032,7.205,2
240,23,AG_23_5,AUD8,Video,Max Conversions,6.85,283268.45,290151.22,1674511,9397,312,3811114.89,0.0056,0.0333,13.135,2
241,24,AG_24_1,AUD4,Display,Manual CPC,10.77,233023.51,206921.84,1764609,17114,554,8038383.47,0.0097,0.0324,38.847,2
242,24,AG_24_2,AUD7,Display,tROAS,5.07,357792.68,366251.12,3493416,34030,1179,11499190.71,0.0097,0.0346,31.397,2
243,24,AG_24_3,AUD1,Display,tROAS,10.94,348415.91,327286.83,3207468,35512,1076,10857465.47,0.0111,0.0303,33.174,2
244,24,AG_24_4,AUD5,Display,tROAS,11.41,303926.1,296596.85,3209098,33646,1060,9117150.69,0.0105,0.0315,30.739,2
245,24,AG_24_5,AUD6,Display,tROAS,11.78,265332.11,275177.15,1801688,16708,551,8968132.54,0.0093,0.033,32.59,2
246,25,AG_25_1,AUD5,Search,Manual CPC,26.91,491143.22,469538.06,2728937,84287,10114,137272450.42,0.0309,0.12,292.356,2
247,25,AG_25_2,AUD8,Search,Manual CPC,24.74,560005.9,523806.04,2302371,73609,8681,107900577.24,0.032,0.1179,205.993,2
248,25,AG_25_3,AUD8,Search,Max Conversions,28.66,443806.04,453299.06,2015534,59038,7084,60905559.5,0.0293,0.12,134.361,2
249,25,AG_25_4,AUD7,Search,Manual CPC,19.51,320377.48,298831.0,1601039,46944,5613,55541703.9,0.0293,0.1196,185.863,2
250,25,AG_25_5,AUD6,Search,tROAS,18.7,439126.85,407119.12,1587722,49489,5938,75132179.81,0.0312,0.12,184.546,2
251,1,AG_1_1,AUD10,Social,Manual CPC,17.35,203821.07,177442.75,898598,23705,2408,23619458.55,0.0264,0.1016,133.11,3
252,1,AG_1_2,AUD6,Social,Max Conversions,15.3,240345.9,229058.88,1174413,29622,2781,25755888.27,0.0252,0.0939,112.442,3
253,1,AG_1_3,AUD6,Social,tROAS,10.64,133751.88,133025.32,1099891,27669,3079,39540922.56,0.0252,0.1113,297.244,3
254,1,AG_1_4,AUD6,Social,tROAS,17.21,205948.04,177098.57,1240093,30948,3212,27702849.93,0.025,0.1038,156.426,3
255,1,AG_1_5,AUD1,Social,Max Conversions,18.52,216015.53,226034.21,1286851,34999,3551,53347560.02,0.0272,0.1015,236.015,3
256,2,AG_2_1,AUD8,Search,Max Conversions,24.21,260159.32,255369.78,1015593,26226,3147,54275006.44,0.0258,0.12,212.535,3
257,2,AG_2_2,AUD2,Search,tROAS,19.35,227906.65,227889.07,945415,21694,2603,46084515.43,0.0229,0.12,202.223,3
258,2,AG_2_3,AUD5,Search,Manual CPC,22.66,221110.72,224946.09,1196338,25791,3094,32122199.93,0.0216,0.12,142.8,3
259,2,AG_2_4,AUD9,Search,Manual CPC,23.69,169544.61,156721.51,907420,22625,2715,23893721.38,0.0249,0.12,152.46,3
260,2,AG_2_5,AUD2,Search,tROAS,27.39,163006.58,164885.26,707013,17875,2145,18282539.79,0.0253,0.12,110.88,3
261,3,AG_3_1,AUD2,Video,tROAS,8.03,595063.61,566319.55,3204885,21875,1671,15969623.31,0.0068,0.0764,28.199,3
262,3,AG_3_2,AUD9,Video,tROAS,13.73,646534.31,636985.95,2015131,13776,879,10191694.03,0.0068,0.0638,16.0,3
263,3,AG_3_3,AUD3,Video,Manual CPC,10.14,627908.78,650035.41,4191624,26001,1873,31621338.24,0.0062,0.072,48.646,3
264,3,AG_3_4,AUD6,Video,Manual CPC,12.05,538798.61,562565.52,2114217,13856,1058,15831514.54,0.0066,0.0764,28.142,3
265,3,AG_3_5,AUD1,Video,tROAS,12.42,385388.92,361654.06,1728348,11477,721,11254853.14,0.0066,0.0628,31.12,3
266,4,AG_4_1,AUD4,Display,Max Conversions,6.08,294251.08,294541.36,1901333,36071,3891,53576584.56,0.019,0.1079,181.898,3
267,4,AG_4_2,AUD1,Display,tROAS,6.19,496939.42,433995.99,3337099,68874,8011,100326001.91,0.0206,0.1163,231.168,3
268,4,AG_4_3,AUD6,Display,tROAS,11.59,300852.8,298253.64,1970702,37751,4408,74129731.38,0.0192,0.1168,248.546,3
269,4,AG_4_4,AUD8,Display,Manual CPC,8.18,303166.23,298264.28,2727309,48798,5273,83867782.53,0.0179,0.1081,281.186,3
270,4,AG_4_5,AUD8,Display,tROAS,11.31,464218.87,451800.15,3882989,82608,8618,135225705.34,0.0213,0.1043,299.304,3
271,5,AG_5_1,AUD8,Display,Manual CPC,8.76,179021.0,173521.25,1743757,19067,2288,21257010.06,0.0109,0.12,122.504,3
272,5,AG_5_2,AUD9,Display,Max Conversions,9.64,206954.23,183997.17,2182784,21652,2598,34564421.24,0.0099,0.12,187.853,3
273,5,AG_5_3,AUD4,Display,tROAS,10.73,160783.98,152799.43,1077969,11512,1381,18516821.75,0.0107,0.12,121.184,3
274,5,AG_5_4,AUD9,Display,Max Conversions,11.51,151179.24,130652.45,1314924,14134,1696,22884575.15,0.0107,0.12,175.156,3
275,5,AG_5_5,AUD6,Display,tROAS,10.56,190926.62,175194.22,1242366,12400,1488,23158578.09,0.01,0.12,132.188,3
276,6,AG_6_1,AUD2,Video,Max Conversions,6.8,563414.98,509064.41,2429638,40540,3703,61432049.66,0.0167,0.0913,120.676,3
277,6,AG_6_2,AUD1,Video,Manual CPC,12.56,431694.08,402230.42,1778190,27608,2261,19570742.83,0.0155,0.0819,48.656,3
278,6,AG_6_3,AUD2,Video,tROAS,12.7,470415.6,441424.23,2176496,36298,3361,38046543.6,0.0167,0.0926,86.19,3
279,6,AG_6_4,AUD8,Video,tROAS,11.47,533982.05,483696.34,1885168,26474,2485,34077625.17,0.014,0.0939,70.453,3
280,6,AG_6_5,AUD6,Video,Max Conversions,10.77,557568.35,478776.51,2642277,42913,3414,44962594.51,0.0162,0.0796,93.911,3
281,7,AG_7_1,AUD10,Video,Manual CPC,13.23,530123.42,487894.83,1755793,19369,1602,23662145.79,0.011,0.0828,48.498,3
282,7,AG_7_2,AUD9,Video,Max Conversions,9.41,666489.41,654740.57,3238521,32380,2880,44507454.89,0.01,0.089,67.977,3
283,7,AG_7_3,AUD6,Video,Max Conversions,10.48,542621.82,553611.13,1715510,16973,1407,16029069.38,0.0099,0.0829,28.954,3
284,7,AG_7_4,AUD3,Video,Manual CPC,11.32,472950.08,414346.97,2703782,29349,2442,30979256.2,0.0109,0.0832,74.766,3
285,7,AG_7_5,AUD4,Video,Max Conversions,14.65,420086.59,426604.76,1891998,18108,1536,13665806.12,0.0096,0.0849,32.034,3
286,8,AG_8_1,AUD8,Social,Max Conversions,18.89,205202.56,174874.17,1007079,22881,2631,25728017.42,0.0227,0.115,147.123,3
287,8,AG_8_2,AUD3,Social,tROAS,16.79,385580.66,340937.05,2632588,62100,6825,122479010.52,0.0236,0.1099,359.242,3
288,8,AG_8_3,AUD7,Social,Max Conversions,18.37,283155.34,256957.96,1404539,28340,2817,35200763.05,0.0202,0.0994,136.99,3
289,8,AG_8_4,AUD10,Social,tROAS,15.44,381086.27,359380.01,2900892,65111,6563,116330651.39,0.0224,0.1008,323.698,3
290,8,AG_8_5,AUD3,Social,Manual CPC,11.65,392654.06,351997.84,1633149,33143,3930,56438951.44,0.0203,0.1186,160.339,3
291,9,AG_9_1,AUD4,Social,Max Conversions,15.03,480058.72,478790.84,3179135,50915,4156,53275770.95,0.016,0.0816,111.271,3
292,9,AG_9_2,AUD4,Social,Manual CPC,13.33,475477.4,442196.8,2432431,45860,3904,47249831.03,0.0189,0.0851,106.852,3
293,9,AG_9_3,AUD10,Social,tROAS,15.27,519723.96,474706.83,2724918,52330,4234,38023205.74,0.0192,0.0809,80.098,3
294,9,AG_9_4,AUD6,Social,tROAS,11.8,507865.57,486069.34,2600048,49898,4466,60953818.56,0.0192,0.0895,125.401,3
295,9,AG_9_5,AUD9,Social,tROAS,18.6,396183.58,337771.99,1684894,27435,2184,37837886.34,0.0163,0.0796,112.022,3
296,10,AG_10_1,AUD1,Video,Max Conversions,10.66,774808.13,782579.86,2456834,17187,1161,9983731.05,0.007,0.0676,12.757,3
297,10,AG_10_2,AUD5,Video,tROAS,9.3,607082.88,629125.38,3973580,28703,2214,21177556.79,0.0072,0.0772,33.662,3
298,10,AG_10_3,AUD7,Video,tROAS,13.54,558907.87,540531.45,2135741,14934,1069,12090303.92,0.007,0.0716,22.367,3
299,10,AG_10_4,AUD9,Video,Max Conversions,6.17,625268.63,606386.9,3696843,26768,2066,32669464.78,0.0072,0.0772,53.876,3
300,10,AG_10_5,AUD9,Video,Max Conversions,8.73,816346.53,797389.24,5561665,40465,2644,35227604.61,0.0073,0.0654,44.179,3
301,11,AG_11_1,AUD9,Social,Max Conversions,18.56,205844.86,198766.76,921644,13699,999,11390827.71,0.0149,0.073,57.308,3
302,11,AG_11_2,AUD10,Social,tROAS,15.36,255480.06,226387.87,1397888,20538,1320,11551622.41,0.0147,0.0643,51.026,3
303,11,AG_11_3,AUD4,Social,tROAS,14.77,176797.16,183397.4,1499995,24242,1783,23369477.61,0.0162,0.0736,127.425,3
304,11,AG_11_4,AUD3,Social,Max Conversions,12.3,239737.43,227354.41,1151113,16814,1155,14111492.49,0.0146,0.0687,62.068,3
305,11,AG_11_5,AUD5,Social,Max Conversions,13.77,318731.97,311010.57,1668549,26281,1788,28628813.52,0.0158,0.0681,92.051,3
306,12,AG_12_1,AUD6,Display,Manual CPC,8.72,105196.41,90641.81,644163,7464,297,4372810.63,0.0116,0.0399,48.243,3
307,12,AG_12_2,AUD9,Display,Manual CPC,7.82,137100.39,142156.94,1605896,19320,749,6288285.72,0.012,0.0388,44.235,3
308,12,AG_12_3,AUD10,Display,Max Conversions,8.33,163771.93,160108.02,1435891,16801,589,10293503.35,0.0117,0.0351,64.291,3
309,12,AG_12_4,AUD1,Display,Max Conversions,5.51,151771.59,140623.33,1016195,12291,469,3774101.28,0.0121,0.0382,26.838,3
310,12,AG_12_5,AUD3,Display,Manual CPC,8.13,169851.93,149011.2,1670820,17935,714,9094741.31,0.0107,0.0398,61.034,3
311,13,AG_13_1,AUD2,Display,Max Conversions,7.23,191038.56,196293.72,1544604,9316,334,4371865.55,0.006,0.0359,22.272,3
312,13,AG_13_2,AUD6,Display,tROAS,9.21,169770.93,148599.28,1039750,6752,247,2467356.56,0.0065,0.0366,16.604,3
313,13,AG_13_3,AUD6,Display,tROAS,9.71,212868.5,217119.16,2017191,12386,442,4121512.78,0.0061,0.0358,18.983,3
314,13,AG_13_4,AUD4,Display,tROAS,6.1,199604.29,206982.54,1597451,9656,350,4447470.82,0.006,0.0363,21.487,3
315,13,AG_13_5,AUD7,Display,Max Conversions,9.94,232832.92,214148.61,1552217,10541,380,4771377.34,0.0068,0.0361,22.281,3
316,14,AG_14_1,AUD5,Video,Max Conversions,10.8,488719.19,419203.72,2493974,14768,289,3400982.71,0.0059,0.0196,8.113,3
317,14,AG_14_2,AUD9,Video,Manual CPC,6.19,337411.51,332410.57,1561651,8193,169,2550424.95,0.0052,0.0207,7.673,3
318,14,AG_14_3,AUD7,Video,Max Conversions,12.3,570457.32,493252.29,1423022,8383,163,2703765.8,0.0059,0.0195,5.482,3
319,14,AG_14_4,AUD9,Video,Max Conversions,11.27,451442.58,387343.97,1091171,5707,119,1290303.06,0.0052,0.0209,3.331,3
320,14,AG_14_5,AUD9,Video,Manual CPC,11.32,440062.56,450045.82,1487732,7784,168,1790915.91,0.0052,0.0217,3.979,3
321,15,AG_15_1,AUD5,Social,Max Conversions,18.78,221777.46,229878.9,1518776,20674,491,6319575.29,0.0136,0.0238,27.491,3
322,15,AG_15_2,AUD9,Social,Manual CPC,14.04,249662.65,235569.12,1587811,25762,645,8745632.51,0.0162,0.025,37.126,3
323,15,AG_15_3,AUD10,Social,Max Conversions,14.98,367136.96,350265.59,1969941,27472,708,5906829.14,0.0139,0.0258,16.864,3
324,15,AG_15_4,AUD1,Social,Max Conversions,15.74,227702.59,210171.66,1319187,18172,459,4510249.35,0.0138,0.0253,21.46,3
325,15,AG_15_5,AUD8,Social,Max Conversions,10.18,296244.86,295551.38,2026699,30105,758,10976614.12,0.0149,0.0252,37.139,3
326,16,AG_16_1,AUD10,Search,Max Conversions,18.52,286580.43,259813.86,1735047,33585,1138,14251333.72,0.0194,0.0339,54.852,3
327,16,AG_16_2,AUD10,Search,tROAS,29.51,298950.51,304066.85,1743233,36505,1061,10624844.48,0.0209,0.0291,34.942,3
328,16,AG_16_3,AUD3,Search,tROAS,20.54,226304.63,206513.89,976944,19085,673,10256447.08,0.0195,0.0353,49.665,3
329,16,AG_16_4,AUD8,Search,Max Conversions,24.86,265559.26,235884.47,1148983,23679,697,10403232.42,0.0206,0.0295,44.103,3
330,16,AG_16_5,AUD7,Search,tROAS,29.34,288369.36,295835.97,1409018,25021,771,8669946.27,0.0178,0.0308,29.307,3
331,17,AG_17_1,AUD9,Display,Manual CPC,11.89,122133.58,117349.02,1056833,7164,152,1516122.2,0.0068,0.0212,12.92,3
332,17,AG_17_2,AUD6,Display,tROAS,10.28,73457.3,76333.55,901957,6467,137,2082344.57,0.0072,0.0213,27.28,3
333,17,AG_17_3,AUD3,Display,Manual CPC,9.09,96972.24,83922.57,853116,6084,114,1847334.68,0.0071,0.0187,22.012,3
334,17,AG_17_4,AUD9,Display,Manual CPC,9.9,97757.42,92122.81,917696,7222,139,1986614.68,0.0079,0.0193,21.565,3
335,17,AG_17_5,AUD5,Display,Manual CPC,7.42,103503.27,100898.97,1188556,8542,180,2912131.19,0.0072,0.0212,28.862,3
336,18,AG_18_1,AUD4,Display,tROAS,6.64,149326.68,129819.2,1258209,11350,171,2225464.92,0.009,0.0151,17.143,3
337,18,AG_18_2,AUD6,Display,Max Conversions,8.4,106257.59,109917.59,883092,7560,123,1672665.35,0.0086,0.0163,15.217,3
338,18,AG_18_3,AUD10,Display,Max Conversions,10.14,149972.58,151765.36,1017666,8229,130,1384615.92,0.0081,0.0159,9.123,3
339,18,AG_18_4,AUD7,Display,tROAS,7.94,159669.2,138360.97,920771,7865,124,1934786.45,0.0085,0.0158,13.984,3
340,18,AG_18_5,AUD4,Display,Manual CPC,10.0,125100.76,110608.29,1122640,8930,146,1993991.07,0.008,0.0164,18.028,3
341,19,AG_19_1,AUD10,Search,tROAS,28.3,39240.51,37660.18,134383,2269,73,770283.03,0.0169,0.0324,20.454,3
342,19,AG_19_2,AUD9,Search,Max Conversions,22.06,42859.1,44551.42,190600,3155,85,1142296.23,0.0166,0.027,25.64,3
343,19,AG_19_3,AUD5,Search,tROAS,24.38,61308.72,62765.43,258689,4609,147,1352047.15,0.0178,0.0321,21.541,3
344,19,AG_19_4,AUD6,Search,tROAS,21.18,40550.61,39890.02,141161,2511,79,1354328.95,0.0178,0.0318,33.952,3
345,19,AG_19_5,AUD1,Search,Max Conversions,21.91,61868.0,57474.69,330825,6076,195,3092054.84,0.0184,0.0322,53.799,3
346,20,AG_20_1,AUD5,Display,Max Conversions,7.48,694270.91,590186.03,3962410,36209,1145,14711632.57,0.0091,0.0316,24.927,3
347,20,AG_20_2,AUD1,Display,Manual CPC,10.35,475882.54,416233.89,4174921,37177,1241,15283961.52,0.0089,0.0334,36.72,3
348,20,AG_20_3,AUD8,Display,Manual CPC,8.81,668592.96,644565.4,7142906,71271,2171,28311361.43,0.01,0.0305,43.923,3
349,20,AG_20_4,AUD3,Display,Max Conversions,9.11,806668.03,775179.87,8152248,80148,2367,34150520.94,0.0098,0.0295,44.055,3
350,20,AG_20_5,AUD4,Display,Manual CPC,11.21,488881.07,463211.67,4513523,40696,1298,13949671.33,0.009,0.0319,30.115,3
351,21,AG_21_1,AUD4,Video,Max Conversions,8.38,237732.93,236016.54,960986,8235,167,2623055.59,0.0086,0.0203,11.114,3
352,21,AG_21_2,AUD9,Video,tROAS,10.79,203347.11,213081.31,1481827,13493,301,3148459.22,0.0091,0.0224,14.776,3
353,21,AG_21_3,AUD9,Video,Manual CPC,11.19,264115.8,235477.39,794405,7554,146,1310871.22,0.0095,0.0194,5.567,3
354,21,AG_21_4,AUD4,Video,Max Conversions,14.65,225390.81,194117.69,1358715,13226,294,2925460.88,0.0097,0.0223,15.071,3
355,21,AG_21_5,AUD3,Video,tROAS,12.36,262960.31,260007.97,1073753,9431,191,2427199.34,0.0088,0.0203,9.335,3
356,22,AG_22_1,AUD10,Social,tROAS,11.76,424534.18,415683.43,3194000,53316,2471,36540856.97,0.0167,0.0463,87.905,3
357,22,AG_22_2,AUD9,Social,Max Conversions,13.73,330042.2,338317.24,1760018,26999,1462,18715572.82,0.0153,0.0542,55.32,3
358,22,AG_22_3,AUD7,Social,Max Conversions,11.21,430433.16,382145.24,1882320,29406,1369,19223141.21,0.0156,0.0466,50.303,3
359,22,AG_22_4,AUD2,Social,tROAS,18.41,321239.46,296360.56,2117407,33405,1692,26698821.4,0.0158,0.0507,90.089,3
360,22,AG_22_5,AUD5,Social,tROAS,10.25,458894.86,419927.19,3552016,51739,2580,37406489.18,0.0146,0.0499,89.079,3
361,23,AG_23_1,AUD6,Video,Max Conversions,11.15,534728.14,471897.41,1492433,10267,493,7348733.49,0.0069,0.0481,15.573,3
362,23,AG_23_2,AUD1,Video,Max Conversions,9.9,746063.31,721454.83,2909333,20364,980,8717297.93,0.007,0.0482,12.083,3
363,23,AG_23_3,AUD5,Video,tROAS,7.77,899122.85,851515.3,3220056,21835,1054,15958815.75,0.0068,0.0483,18.742,3
364,23,AG_23_4,AUD7,Video,tROAS,13.99,595056.48,583528.66,3445851,25090,1383,11826166.32,0.0073,0.0551,20.267,3
365,23,AG_23_5,AUD1,Video,Max Conversions,8.05,641926.72,604708.15,3153957,20661,1174,11865696.25,0.0066,0.0568,19.622,3
366,24,AG_24_1,AUD9,Display,Max Conversions,10.9,86995.61,89811.16,662274,9557,582,9149561.03,0.0144,0.061,101.876,3
367,24,AG_24_2,AUD7,Display,tROAS,11.1,104557.5,102483.67,1171215,15883,846,11877882.28,0.0136,0.0533,115.9,3
368,24,AG_24_3,AUD1,Display,Max Conversions,7.58,132528.28,123376.03,1225739,16765,912,15629988.45,0.0137,0.0544,126.686,3
369,24,AG_24_4,AUD9,Display,Max Conversions,11.1,114697.46,116684.49,950568,12622,750,6287728.96,0.0133,0.0595,53.887,3
370,24,AG_24_5,AUD1,Display,Max Conversions,5.38,130524.84,129189.14,857775,11885,598,5352660.01,0.0139,0.0504,41.433,3
371,25,AG_25_1,AUD8,Search,Max Conversions,27.69,162540.53,154293.97,766690,20973,2516,35205822.35,0.0274,0.12,228.174,3
372,25,AG_25_2,AUD8,Search,Manual CPC,28.4,208025.43,205669.82,1087834,28499,3419,44570765.68,0.0262,0.12,216.71,3
373,25,AG_25_3,AUD10,Search,Manual CPC,21.04,158786.39,151048.74,521686,15348,1841,27273680.72,0.0294,0.12,180.562,3
374,25,AG_25_4,AUD10,Search,tROAS,22.05,175776.96,155946.98,833252,25298,3035,39100197.66,0.0304,0.12,250.728,3
375,25,AG_25_5,AUD3,Search,Manual CPC,22.26,140816.13,141857.48,828417,23052,2766,42281495.24,0.0278,0.12,298.056,3
376,1,AG_1_1,AUD1,Social,Max Conversions,11.49,218862.17,198028.31,953863,27116,3253,53216981.49,0.0284,0.12,268.734,4
377,1,AG_1_2,AUD4,Social,Manual CPC,10.61,233236.05,230964.02,1126574,32914,3949,39169072.05,0.0292,0.12,169.589,4
378,1,AG_1_3,AUD10,Social,tROAS,19.46,251505.97,222171.81,1881731,53273,6392,96131631.76,0.0283,0.12,432.691,4
379,1,AG_1_4,AUD8,Social,tROAS,15.74,191499.91,195543.96,1074547,33129,3975,41063523.97,0.0308,0.12,209.996,4
380,1,AG_1_5,AUD6,Social,tROAS,12.75,133535.56,130353.43,806333,23500,2820,46029142.81,0.0291,0.12,353.11,4
381,2,AG_2_1,AUD4,Search,Manual CPC,29.19,378881.27,394142.33,1748939,52409,6289,64385422.71,0.03,0.12,163.356,4
382,2,AG_2_2,AUD1,Search,Manual CPC,20.66,589279.32,544624.45,2288013,74389,8926,105588990.74,0.0325,0.12,193.875,4
383,2,AG_2_3,AUD3,Search,Manual CPC,20.51,372346.75,330794.07,1325438,44658,5358,95920123.4,0.0337,0.12,289.969,4
384,2,AG_2_4,AUD7,Search,tROAS,28.09,423988.27,422703.62,2011283,66407,7968,136606717.01,0.033,0.12,323.174,4
385,2,AG_2_5,AUD4,Search,Max Conversions,22.77,409721.89,399462.08,1878435,56468,6776,115321835.47,0.0301,0.12,288.693,4
386,3,AG_3_1,AUD1,Video,Max Conversions,12.57,472887.77,406739.93,1328154,13565,1219,10876759.17,0.0102,0.0899,26.741,4
387,3,AG_3_2,AUD2,Video,tROAS,11.43,438032.24,429324.73,1297936,15268,1392,17937380.57,0.0118,0.0912,41.78,4
388,3,AG_3_3,AUD9,Video,tROAS,14.05,541931.97,551456.24,1837841,18430,1481,20097270.8,0.01,0.0804,36.444,4
389,3,AG_3_4,AUD8,Video,tROAS,11.33,417099.33,376448.27,2237740,24439,1994,22324613.16,0.0109,0.0816,59.303,4
390,3,AG_3_5,AUD9,Video,tROAS,12.49,300575.71,309020.06,1264875,14622,1190,10831048.23,0.0116,0.0814,35.05,4
391,4,AG_4_1,AUD2,Display,Max Conversions,9.5,828650.69,710710.75,6074442,137138,16456,177301343.48,0.0226,0.12,249.47,4
392,4,AG_4_2,AUD10,Display,Manual CPC,8.59,922911.94,861107.03,6028597,131256,15750,281346687.34,0.0218,0.12,326.727,4
393,4,AG_4_3,AUD7,Display,Manual CPC,8.38,880791.28,918610.78,9824690,241199,28943,409515379.51,0.0246,0.12,445.799,4
394,4,AG_4_4,AUD1,Display,Max Conversions,11.18,648417.76,573123.03,4845599,110909,13309,125307056.83,0.0229,0.12,218.639,4
